1738,9,8,8,18,left,up,"[{""positionX"": 12, ""positionY"": 19}, {""positionX"": 11, ""positionY"": 19}, {""positionX"": 10, ""positionY"": 19}, {""positionX"": 9, ""positionY"": 19}, {""positionX"": 8, ""positionY"": 19}]"
1739,9,8,8,17,up,up,"[{""positionX"": 11, ""positionY"": 19}, {""positionX"": 10, ""positionY"": 19}, {""positionX"": 9, ""positionY"": 19}, {""positionX"": 8, ""positionY"": 19}, {""positionX"": 8, ""positionY"": 18}]"
1740,9,8,9,17,up,right,"[{""positionX"": 10, ""positionY"": 19}, {""positionX"": 9, ""positionY"": 19}, {""positionX"": 8, ""positionY"": 19}, {""positionX"": 8, ""positionY"": 18}, {""positionX"": 8, ""positionY"": 17}]"
1741,9,8,9,16,right,up,"[{""positionX"": 9, ""positionY"": 19}, {""positionX"": 8, ""positionY"": 19}, {""positionX"": 8, ""positionY"": 18}, {""positionX"": 8, ""positionY"": 17}, {""positionX"": 9, ""positionY"": 17}]"
1742,9,8,9,15,up,up,"[{""positionX"": 8, ""positionY"": 19}, {""positionX"": 8, ""positionY"": 18}, {""positionX"": 8, ""positionY"": 17}, {""positionX"": 9, ""positionY"": 17}, {""positionX"": 9, ""positionY"": 16}]"
1743,9,8,9,14,up,up,"[{""positionX"": 8, ""positionY"": 18}, {""positionX"": 8, ""positionY"": 17}, {""positionX"": 9, ""positionY"": 17}, {""positionX"": 9, ""positionY"": 16}, {""positionX"": 9, ""positionY"": 15}]"
1744,9,8,9,13,up,up,"[{""positionX"": 8, ""positionY"": 17}, {""positionX"": 9, ""positionY"": 17}, {""positionX"": 9, ""positionY"": 16}, {""positionX"": 9, ""positionY"": 15}, {""positionX"": 9, ""positionY"": 14}]"
1745,9,8,9,12,up,up,"[{""positionX"": 9, ""positionY"": 17}, {""positionX"": 9, ""positionY"": 16}, {""positionX"": 9, ""positionY"": 15}, {""positionX"": 9, ""positionY"": 14}, {""positionX"": 9, ""positionY"": 13}]"
1746,9,8,9,11,up,up,"[{""positionX"": 9, ""positionY"": 16}, {""positionX"": 9, ""positionY"": 15}, {""positionX"": 9, ""positionY"": 14}, {""positionX"": 9, ""positionY"": 13}, {""positionX"": 9, ""positionY"": 12}]"
1747,9,8,9,10,up,up,"[{""positionX"": 9, ""positionY"": 15}, {""positionX"": 9, ""positionY"": 14}, {""positionX"": 9, ""positionY"": 13}, {""positionX"": 9, ""positionY"": 12}, {""positionX"": 9, ""positionY"": 11}]"
1748,9,8,9,9,up,up,"[{""positionX"": 9, ""positionY"": 14}, {""positionX"": 9, ""positionY"": 13}, {""positionX"": 9, ""positionY"": 12}, {""positionX"": 9, ""positionY"": 11}, {""positionX"": 9, ""positionY"": 10}]"
